compound_name,SMILES,DTXSID,pmids,n_articles
Niclosamide,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)[N+]([O-])=O,DTXSID7040362,"['36103544', '35901075', '35835291', '35717393', '35617516', '35346667', '35334447', '34736968', '34517104', '34166727', '34066940', '33989748', '33961984', '33961950', '33772737', '33737681', '33713017', '33665961', '33562748', '33540007', '33524445', '33482272', '33405908', '33173007', '33112138', '33080984', '32866370', '32636148', '32579788', '32563698', '32065294', '32045239', '31918110', '31846070', '31433913', '31398420', '31080089', '31040114', '31037769', '30954430', '30770146', '30611787', '30599391', '30451016', '29960048', '29856824', '29544454', '29480568', '28877265', '28685770', '28414284', '28318631', '28138036', '28081501', '27980107', '27633064', '27520370', '27438712', '27127879', '27049719', '26873959', '26848771', '26784896', '26503661', '26094434', '25970160', '25897961', '25785368', '25730600', '24945434', '24750999', '24740322', '24416452', '24019973', '23908450', '23373283', '23373270', '23373266', '22970937', '22263502', '22047607', '21254932', '19771169', '18226810', '16356763', '12451431', '1932616', '3278217', '3780473', '3726395', '3941681', '6636299', '6763710', '7192543', '6975179', '348055', '319991', '4666440']",98
"1-[4-amino-2-(ethoxymethyl)imidazo[4,5-c]quinolin-1-yl]-2-methylpropan-2-ol",CCOCC1=NC2=C(N1CC(C)(C)O)C3=CC=CC=C3N=C2N,DTXSID7040603,[],0
1-(4-tert-butylphenyl)-N-methyl-N-(naphthalen-1-ylmethyl)methanamine,CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32,DTXSID7040657,[],0
Cetrorelix,C[C@H](C(=O)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CCCNC(=O)N)NC(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)[C@H](CO)NC(=O)[C@@H](CC3=CN=CC=C3)NC(=O)[C@@H](CC4=CC=C(C=C4)Cl)NC(=O)[C@@H](CC5=CC6=CC=CC=C6C=C5)NC(=O)C,DTXSID7040996,"['35084123', '33548873', '31506747', '31173221', '26194532', '23452939', '21550044', '20945403', '19761413', '19724914', '18703271', '13678723', '10901441', '10626291', '9626655', '1992476']",16
"1-(2-methylpropyl)imidazo[4,5-c]quinolin-4-amine",CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N,DTXSID7041047,['10411278'],1
4-[4-(4-fluorophenyl)-5-pyridin-4-yl-1H-imidazol-2-yl]phenol,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)O,DTXSID7041120,[],0
Haloxyfop-P-Methyl,C[C@H](C(=O)OC)Oc1ccc(cc1)Oc2c(cc(cn2)C(F)(F)F)Cl,DTXSID7042019,[],0
"(1R,4r)-4-[(1R)-1-Aminoethyl]-N-(pyridin-4-yl)cyclohexane-1-carboxamide",C[C@H](C1CCC(CC1)C(=O)NC2=CC=NC=C2)N,DTXSID7043740,[],0
"N-methyl-3-(1-tetracyclo[6.6.2.02,7.09,14]hexadeca-2,4,6,9,11,13-hexaenyl)propan-1-amine",CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,DTXSID7045029,[],0
"(1R,3R,5S,8S,13R,14S)-1-hydroxy-14-(2-hydroxypropan-2-yl)-13-methyl-4,7,10-trioxapentacyclo[6.4.1.19,12.03,5.05,13]tetradecane-6,11-dione;(1R,5S,8S,13R,14R)-1-hydroxy-13-methyl-14-prop-1-en-2-yl-4,7,10-trioxapentacyclo[6.4.1.19,12.03,5.05,13]tetradecane-6,11-dione",CC(=C)[C@@H]1[C@@H]2[C@@H]3[C@@]4([C@]([C@H]1C(=O)O2)(C[C@@H]5[C@]4(O5)C(=O)O3)O)C.C[C@@]12[C@H]3[C@H]4[C@H]([C@@H]([C@@]1(C[C@@H]5[C@]2(O5)C(=O)O3)O)C(=O)O4)C(C)(C)O,DTXSID7045605,[],0
Rifaximin,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)/C,DTXSID7045998,"['35806386', '35331913', '35068872', '34322673', '32759852', '32380874', '31918110', '31607677', '31438618', '31010865', '29897844', '29580065', '29485654', '29417604', '29307995', '29130574', '28697313', '27126547', '26122229', '25895618', '25277138', '24669839', '23640348', '22790967', '21767157', '21685772', '20518580', '19442033', '16267720', '15855752', '15494951', '15046233', '10859431', '7671647', '3769048', '3719854', '6466468']",37
Drospirenone,C[C@]12CCC(=O)C=C1[C@@H]3C[C@@H]3[C@@H]4[C@@H]2CC[C@]5([C@H]4[C@@H]6C[C@@H]6[C@@]57CCC(=O)O7)C,DTXSID7046465,"['35662091', '34682353', '33892323', '33148062', '28743530', '28257955', '27245768', '26930480', '26334605', '26161812', '25634167', '25454533', '24568092', '22646507', '22554799', '22187020', '21309181', '12694747', '12566804', '8844995']",20
Eptifibatide,C1C[C@H]2C(=O)N[C@@H](CSSCCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N2C1)CC3=CNC4=CC=CC=C43)CC(=O)O)CCCCN=C(N)N)C(=O)N,DTXSID7046673,"['30677414', '30428081', '28815933', '28267256', '27778144', '24073244', '20710158', '20121459', '17428156', '16863436', '12213991', '12182915']",12
N-[3-chloro-4-[(3-fluorophenyl)methoxy]phenyl]-6-[5-[(2-methylsulfonylethylamino)methyl]furan-2-yl]quinazolin-4-amine,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,DTXSID7046675,[],0
6-chloro-3-(4-chlorothiophene-2-carbonyl)-5-fluoro-2-oxo-3H-indole-1-carboxamide,O=C(c1scc(Cl)c1)C3c2cc(F)c(Cl)cc2N(C(=O)N)C3=O,DTXSID7047304,[],0
"(1S,3S,5S)-2-[(2S)-2-amino-2-(3-hydroxy-1-adamantyl)acetyl]-2-azabicyclo[3.1.0]hexane-3-carbonitrile",C1[C@@H]2C[C@@H]2N([C@@H]1C#N)C(=O)[C@H](C34CC5CC(C3)CC(C5)(C4)O)N,DTXSID7048580,[],0
"3-[2-[4-(6-fluoro-1,2-benzoxazol-3-yl)piperidin-1-yl]ethyl]-9-hydroxy-2-methyl-6,7,8,9-tetrahydropyrido[1,2-a]pyrimidin-4-one",CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,DTXSID7049059,[],0
N-(3-Aminopropyl)-Imidazole,NCCCN1C=CN=C1,DTXSID7063685,"['27889588', '10742311']",2
1-(2-chloro-5-nitrophenyl)sulfonyl-2-methylbenzimidazole,CC1=NC2=CC=CC=C2N1S(=O)(=O)C3=C(C=CC(=C3)[N+](=O)[O-])Cl,DTXSID801010183,[],0
Mono-isobutyl phthalate,CC(C)COC(=O)C1=CC=CC=C1C(=O)O.N,DTXSID80144471,"['35952743', '35944631', '35914397', '35907437', '35584204', '35504341', '35474427', '35469886', '35199389', '35148339', '34562484', '34478338', '34187630', '33907876', '33885134', '33839654', '33838276', '33573264', '33412243', '33359703', '33333342', '32260494', '32233978', '31923847', '31810691', '31214748', '31106649', '31063881', '30878731', '30529141', '30226539', '30029331', '29426025', '29385630', '28457892', '28392401', '29903100', '28174045', '27750193', '27588698', '27494538', '27372718', '26601918', '25929801', '25437948', '24657244', '24041567', '23747553', '22472124', '21575223', '21406311', '19919614', '18684505', '17182278', '16466537', '16374941']",56
AZD-4547,C[C@@H]1CN(C[C@@H](N1)C)C2=CC=C(C=C2)C(=O)NC3=NNC(=C3)CCC4=CC(=CC(=C4)OC)OC,DTXSID80145887,[],0
"2-[4-oxo-3-[[5-(trifluoromethyl)-1,3-benzothiazol-2-yl]methyl]phthalazin-1-yl]acetic acid",C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)C(F)(F)F)CC(=O)O,DTXSID80149365,[],0
N-[4-(1-cyanocyclopentyl)phenyl]-2-(pyridin-4-ylmethylamino)pyridine-3-carboxamide,C1CCC(C1)(C#N)C2=CC=C(C=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4,DTXSID80153427,[],0
3-[3-(2-amino-2-oxoethyl)-1-benzyl-2-ethylindol-5-yl]oxypropylphosphonic acid,CCC1=C(C2=C(N1CC3=CC=CC=C3)C=CC(=C2)OCCCP(=O)(O)O)CC(=O)N,DTXSID80167706,[],0
budesonide,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,DTXSID8020202,"['35945730', '34865628', '34734325', '34473917', '34149734', '34102607', '33488073', '33359650', '33278326', '32602616', '32565301', '32543161', '32361010', '32345761', '32111211', '32107038', '32006953', '31953533', '31889220', '31806959', '31699151', '31605597', '31306564', '31243601', '31092255', '31047944', '31030460', '30738243', '30638033', '30606719', '30405619', '30189237', '29890256', '29857089', '29661024', '29606258', '29501934', '29486562', '29347939', '29139375', '28900313', '28890175', '28612627', '28528362', '28492611', '28475384', '28399021', '28371296', '28358425', '28279894', '27730746', '27702823', '27329088', '27083829', '26990271', '26952014', '26913416', '26565665', '26229440', '26213469', '25943421', '25863215', '25515181', '25288000', '24961409', '24462857', '24246990', '23902458', '23886498', '23801853', '23800689', '23616146', '23547762', '23416011', '23373543', '23256845', '23148608', '23143891', '23141888', '22975080', '22973822', '22847255', '22796798', '22784947', '22702509', '22658854', '22563779', '22464980', '22459771', '22406294', '22258289', '22077102', '21885873', '21484967', '21440612', '21430235', '21425953', '21382459', '21122499', '21090563']",100
"2-[4-(2,2-dichlorocyclopropyl)phenoxy]-2-methylpropanoic acid",CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl,DTXSID8020331,['1561628'],1
8-hydroxyloxapine,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)O)OC4=C2C=C(C=C4)Cl,DTXSID80210387,"['28647110', '8500919']",2
tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,DTXSID8021359,"['35716545', '34843882', '34620619', '32966669', '31721714', '31332465', '31239454', '30818176', '28992765', '28864502', '28470980', '27458036', '26763401', '26528794', '24730468', '24713348', '24590592', '24095862', '23944042', '23727057', '23238784', '23159416', '22305783', '21915887', '21633322', '21394449', '21373760', '21295126', '21182487', '21133673', '20571173', '20388821', '20154101', '22314909', '19925388', '19812119', '19715737', '19651758', '19555732', '19515014', '19410628', '19406193', '18805792', '18053665', '17950511', '17889469', '17575084', '16949883', '16867169', '16753349', '16644696', '16306272', '16186562', '16128907', '16020498', '15802818', '15707761', '15637526', '15626586', '15310247', '15067832', '14641553', '12648023', '12187936', '12136641', '12093468', '12046964', '12015271', '11911494', '11740344', '11737866', '11678778', '11307968', '11181502', '11067812', '10917566', '10877007', '10761997', '10729206', '10681382', '10628900', '10383929', '10207612', '10052646', '9867310', '9755458', '9683340', '9584336', '9328175', '9342417', '9143352', '9170147', '9060037', '9067780', '9037453', '9004453', '8944768', '8660694', '8853305', '8698425']",100
Dicumarol,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,DTXSID8021729,"['34833955', '34646011', '32739527', '29723420', '29202460', '28891315', '28285345', '27168424', '26612783', '25590579', '25542997', '25051199', '24815186', '24598128', '24532286', '23400972', '22692362', '21910479', '21613233', '20970406', '20599803', '19932748', '19583730', '19460413', '19332539', '19059883', '19000905', '18810995', '17999461', '17477947', '17425337', '16494910', '16427188', '16129536', '15777081', '15715653', '15467770', '15251189', '15114618', '15044619', '12590933', '12453669', '12429349', '12083422', '11118672', '11109318', '11035251', '10683249', '10681517', '10535745', '10217534', '9920282', '9685354', '9548807', '9536516', '9343371', '9310146', '9163701', '9257123', '9054588', '8996152', '8943236', '9118897', '8863816', '8657209', '8615901', '8614906', '8597086', '8615875', '8540230', '7532387', '8572925', '7530864', '7526885', '8077054', '7511200', '7693331', '7693959', '7505009', '7685584', '7686407', '8425275', '1381906', '1406604', '1375532', '1376913', '1372830', '1370822', '1371615', '1377439', '1722672', '1718980', '1714285', '1718826', '1701346', '1700667', '2125671', '2105732', '1704318', '2480794']",100
permethrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,DTXSID8022292,"['36012388', '35457694', '35421512', '35296421', '35275035', '35204751', '34997580', '34958946', '34949345', '34801513', '34706497', '34629233', '34535848', '34460930', '34459596', '34450491', '34389359', '34319145', '34256162', '34184244', '34139223', '33961896', '33848594', '33837621', '33821762', '33662722', '33579300', '33385842', '33220337', '33189447', '33187257', '33143129', '33031810', '32950790', '32919961', '32772960', '32757971', '32619558', '32603923', '32452303', '32179318', '32040184', '32007622', '31866310', '31785554', '31600256', '31593217', '31493923', '31428841', '31415104', '31248885', '31246571', '31148587', '31077771', '31029031', '30903760', '30894343', '30853488', '30738135', '30629241', '30503814', '30384807', '30380470', '30344292', '30292884', '30205134', '30199543', '30177688', '30165532', '30064054', '29863053', '29803855', '29779438', '29753004', '29751049', '29741206', '29687728', '29574011', '29537356', '29284785', '29175578', '29145144', '29137571', '29113940', '28877733', '28870492', '28757463', '28754599', '28624474', '28431163', '28025109', '27931520', '27892872', '27756609', '27548647', '27655349', '27595869', '27502151', '27207879', '27179617']",100
"(8R,9S,10R,13S,14S,17S)-17-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one",C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C,DTXSID8022371,[],0
"3-(4-aminophenyl)-3-ethylpiperidine-2,6-dione",CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,DTXSID8022589,[],0
"[(1S,5R)-8,8-dimethyl-8-azoniabicyclo[3.2.1]octan-3-yl] 2-propylpentanoate;bromide",CCCC(CCC)C(=O)OC1C[C@H]2CC[C@@H](C1)[N+]2(C)C.[Br-],DTXSID8022612,[],0
"(2R,3S,5R)-5-(6-amino-2-chloropurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol",C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,DTXSID8022828,[],0
"N-(piperidin-2-ylmethyl)-2,5-bis(2,2,2-trifluoroethoxy)benzamide",C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,DTXSID8023054,[],0
10-(1-azabicyclo[2.2.2]octan-3-ylmethyl)phenothiazine,C1CN2CCC1C(C2)CN3C4=CC=CC=C4SC5=CC=CC=C53,DTXSID8023262,[],0
Ondansetron,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,DTXSID8023393,"['35870656', '35635557', '35351428', '35149390', '34806513', '34735682', '34436022', '34423897', '34208557', '34145575', '33621893', '33465443', '33402308', '33275828', '33212170', '33120804', '33103603', '32931400', '32699382', '32619674', '32526103', '32460879', '32420702', '32252558', '32209836', '31978815', '31784394', '31776732', '31440823', '31422575', '31304652', '31300567', '31299512', '31013182', '30934555', '30849498', '30729854', '30706788', '30684665', '30620749', '30528075', '30514596', '30385129', '30348073', '30241275', '30149139', '29968799', '29913299', '29685473', '29558304', '29495530', '29206644', '28963679', '28862050', '28709705', '28686330', '28647281', '28545874', '28349496', '28002639', '27988282', '27978861', '27868231', '27770431', '27477617', '27702680', '27686955', '27519711', '27151373', '27079645', '27054939', '27000465', '26903171', '26851398', '26447005', '26323912', '26311211', '26233473', '26196894', '25987082', '25923094', '25813417', '25623303', '25611626', '25590967', '25461913', '25454602', '25450422', '25333367', '25286968', '25239629', '25127659', '25079687', '25034809', '24936772', '24759246', '24522983', '24471415', '24314899', '24196094']",100
Ramipril,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(=O)O,DTXSID8023551,"['35686561', '35286963', '34412518', '34309069', '33155993', '32542932', '32505063', '31964342', '31062909', '31018213', '30826571', '30102628', '29982257', '29904189', '29134498', '27436437', '26302059', '25922179', '25445008', '24746907', '23777825', '23747952', '22734606', '22585420', '22014027', '21535409', '21428725', '21169140', '21091432', '20872093', '20716144', '20685498', '20489028', '17992523', '17666194', '17572700', '17143175', '17019594', '16891913', '16754275', '16734081', '16250418', '16003188', '15685521', '15155118', '15123520', '15076168', '12781906', '12609748', '12473875', '11775418', '11030016', '10352363', '9853992', '9539862', '9489606', '9385473', '9353850', '9379779', '9179393', '9082606', '8076659', '8032605', '8026556', '1334351', '2966628']",66
"5-butan-2-yl-5-prop-2-enyl-1,3-diazinane-2,4,6-trione",CCC(C)C1(C(=O)NC(=O)NC1=O)CC=C,DTXSID8023630,[],0
"(5S,5aR,8aR,9R)-5-[[(2R,4aR,6R,7R,8R,8aS)-7,8-dihydroxy-2-thiophen-2-yl-4,4a,6,7,8,8a-hexahydropyrano[3,2-d][1,3]dioxin-6-yl]oxy]-9-(4-hydroxy-3,5-dimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one",COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](C4=CC5=C(C=C24)OCO5)O[C@H]6[C@@H]([C@H]([C@H]7[C@H](O6)CO[C@H](O7)C8=CC=CS8)O)O,DTXSID8023638,[],0
"(1'R,2R,3S,4'S,6S,8'R,10'E,12'S,13'S,14'E,16'E,20'R,21'R,24'S)-2-butan-2-yl-21',24'-dihydroxy-12'-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-3,11',13',22'-tetramethylspiro[2,3-dihydropyran-6,6'-3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene]-2'-one;(1'R,2R,3S,4'S,6S,8'R,10'E,12'S,13'S,14'E,16'E,20'R,21'R,24'S)-21',24'-dihydroxy-12'-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-3,11',13',22'-tetramethyl-2-propan-2-ylspiro[2,3-dihydropyran-6,6'-3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene]-2'-one",CCC(C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](C\C=C(C)\[C@@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)/C=C/C=C/6CO[C@@H]7[C@H](O)C(=C[C@@H](C(=O)O3)[C@]67O)C)O2)C=C[C@@H]1C.CO[C@H]8C[C@@H](O[C@@H](C)[C@@H]8O)O[C@H]9[C@H](C)O[C@H](C[C@@H]9OC)O[C@H]/%10[C@@H](C)/C=C/C=C/%11CO[C@@H]%12[C@H](O)C(=C[C@@H](C(=O)O[C@H]%13C[C@@H](C\C=C%10C)O[C@@]%14(C%13)O[C@H](C(C)C)[C@@H](C)C=C%14)[C@]%11%12O)C,DTXSID8023892,[],0
Benzothiazole-2-Sulfonic Acid,c1ccc2c(c1)nc(s2)S(=O)(=O)O,DTXSID80240528,[],0
propiconazole,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,DTXSID8024280,"['34688002', '34371104', '34273450', '33798513', '33575850', '32890874', '32585290', '32558230', '32041405', '31662261', '31506785', '30989312', '30528767', '30468381', '30458266', '30293151', '29420809', '28796631', '28609661', '28079044', '28052490', '26602169', '25268938', '24675475', '23954766', '23871939', '23178453', '23159985', '22334560', '21702493', '21503692', '21278054', '20708073', '20175128', '20132345', '20064898', '19409404', '19070657', '19028983', '18585002', '18392276', '18323127', '17178689', '17178688', '17178687', '16996190', '16730040', '16565514', '15603923', '12127262', '10933758', '8318774', '1862543']",53
myclobutanil,CCCCC(Cn1cncn1)(C#N)c1ccc(Cl)cc1,DTXSID8024315,"['32460093', '32268158', '30991128', '30894343', '27693777', '26946349', '25461557', '23834846', '23708528', '23159985', '22115631', '20175128', '20064898', '19409404', '19028983', '17178689', '17178688', '17178687', '16971344', '16730040', '15253041', '10492703', '1471237']",23
"N,N'-METHYLENEBISACRYLAMIDE",C=CC(=O)NCNC(=O)C=C,DTXSID8025595,"['30664976', '29519426', '26997239', '25790112', '7823331', '2337777', '2475836', '3190457', '3553735', '3441322', '7115081']",11
thiocyanatomethyl thiocyanate,N#CSCSC#N,DTXSID8025599,[],0
2-pyrrolidinone,C1CC(=O)NC1,DTXSID8027246,"['36234730', '36231450', '36219797', '36055588', '36011952', '36006892', '35929209', '35909193', '35894638', '35893751', '35887020', '35886955', '35886589', '35870656', '35870612', '35839874', '35830983', '35761145', '35699705', '35687253', '35654409', '35649679', '35550153', '35533562', '35527473', '35523739', '35485887', '35483789', '35478219', '35427849', '35425974', '35349119', '35344900', '35298872', '35294185', '35293057', '35257991', '35239286', '35234353', '35216566', '35212016', '35196843', '35170489', '35163947', '35149433', '35124143', '35098412', '35050567', '35031339', '35030373', '35017453', '34903845', '34862591', '34798461', '34739424', '34663813', '34619432', '34590303', '34570387', '34547248', '34524791', '34520439', '34506776', '34505805', '34473471', '34460924', '34423556', '34405740', '34397335', '34357715', '34322123', '34318591', '34274675', '34273765', '34254497', '34247064', '34246168', '34232635', '34218457', '34216038', '34181859', '34180036', '34164713', '34131926', '34106705', '34069869', '34030106', '34021701', '34014390', '34000308', '33992932', '33974211', '33972592', '33953282', '33932124', '33910036', '33902598', '33881584', '33873029', '33865820']",100
"(3R,5R)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyheptanoic acid",CC(C)c1c(c(c(n1CC[C@H](C[C@H](CC(=O)O)O)O)c2ccc(cc2)F)c3ccccc3)C(=O)Nc4ccccc4,DTXSID8029868,[],0
fenbuconazole,N#CC(CCc1ccc(Cl)cc1)(Cn1cncn1)c1ccccc1,DTXSID8032548,"['23037998', '16996190', '16565514', '15942997']",4
2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,CC(C)(C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F)O,DTXSID8033562,[],0
"(2,5-dioxo-3-prop-2-ynylimidazolidin-1-yl)methyl 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",CC(=CC1C(C1(C)C)C(=O)ON2C(=O)CN(C2=O)CC#C)C,DTXSID8034669,[],0
tetraconazole,FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl,DTXSID8034956,"['33169279', '32897807', '31009652', '30586803']",4
Sulforaphane,CS(=O)CCCCN=C=S,DTXSID8036732,"['36039440', '35905821', '35724838', '35700067', '35628208', '35216054', '35184385', '35181615', '35035662', '34970954', '34959120', '34831440', '34767876', '34749521', '34728189', '34679020', '34651546', '34638525', '34583226', '34502168', '34350614', '34271100', '34258694', '34206048', '34184327', '34184072', '34033999', '34033847', '33992684', '33930529', '33894213', '33881968', '33877541', '33831709', '33814512', '33793066', '33711418', '33640782', '33631231', '33448057', '33392911', '33339141', '33160067', '33126057', '33123312', '33004792', '32986742', '32985744', '32940670', '32751496', '32660825', '32587657', '32521892', '32471217', '32416457', '32416107', '32387680', '32371093', '32342433', '32253837', '32238698', '32184225', '32161072', '32152852', '32111854', '32111265', '32108526', '32073640', '32061629', '32014502', '31982468', '31957488', '31934264', '31884317', '31838189', '31837441', '31761203', '31746589', '31706979', '31640150', '31596500', '31590459', '31570421', '31486328', '31454641', '31376566', '31374175', '31301564', '31295528', '31287730', '31270951', '31260654', '31173751', '31155953', '31100413', '31035011', '30940595', '30930073', '30858063', '30851639']",100
Potassium Perfluorooctanesulfonate,[K+].[O-][S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID8037706; free acid: DTXSID3031864,"['36231722', '36191484', '36182800', '36174755', '36116625', '36113621', '36043461', '35971705', '35934180', '35914335', '35907536', '35881550', '35863418', '35860956', '35753273', '35611390', '35597289', '35472559', '35447424', '35427595', '35325771', '35255338', '35217058', '35194992', '35143854', '35002976', '34990607', '34933042', '34929288', '34915281', '34896592', '34861291', '34836157', '34801790', '34793599', '34762985', '34735953', '34728236', '34695511', '34547448', '34536543', '34520981', '34444092', '34363875', '34298317', '34284018', '34261219', '34246716', '34224775', '34182087', '34169723', '34157464', '34134420', '34133149', '34088118', '33984575', '33976266', '33963058', '33916482', '33890111', '33844015', '33839621', '33838175', '33823190', '33819618', '33812015', '33754950', '33730865', '33677611', '33605484', '33601665', '33497742', '33484797', '33483757', '33444659', '33396145', '33359577', '33315184', '33297189', '33268676', '33258594', '33223333', '33196992', '33144174', '33131681', '33113464', '33096110', '33057757', '32991729', '32980300', '32979393', '32861761', '32839910', '32806617', '32790152', '32746565', '32738709', '32717507', '32700164', '32672850']",100
Fenofibric acid,CC(C)(C(=O)O)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,DTXSID8041030,"['35314168', '33434562', '32980299', '30912953', '29238904', '29182629', '28698097', '26633742', '26203185', '26040752', '24845641', '24825105', '23323878', '22085137', '21715349', '20531954', '19636324', '19445040', '19251819', '19220292', '18455211', '17047939', '16115821', '12644596', '10709162', '7657063', '8025905', '8347161', '1970770', '2713875', '2642049', '3410596', '2885979', '6712725', '6882216', '7063798']",36
RIFAPENTINE,CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C)c(O)c4C(=C(NC(=O)C(=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)\C)C(=C/NN5CCN(CC5)C6CCCC6)\C(=O)c4c3C2=O)O,DTXSID8041115,"['35806386', '33116484', '32950529', '32053584', '31036687', '29901251', '29415190', '29066867', '27977216', '27049049', '26808409', '29533556', '26521872', '25824215', '25580725', '25554469', '25246035', '25190098', '23828580', '23136913', '22762423', '22150035', '21856291', '20409026', '20382083', '20236863', '19929844', '18810686', '18524883', '17240921', '12235850', '11432536', '9706063', '9441094']",34
penconazole,CCCC(Cn1cncn1)c1ccc(Cl)cc1Cl,DTXSID8042260,"['35564597', '31412484', '30514118', '30268961', '29894841', '29729057', '28012672', '27268969', '26364754', '26177143', '24833021', '23834846', '23811263', '23276616', '12127262', '10492703']",16
BEMESETRON,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C3=CC(=CC(=C3)Cl)Cl,DTXSID8042632,"['7796848', '1835440', '1850806', '1780417', '2320706', '2498925', '3416924']",7
Vanoxerine,C1CN(CCN1CCCC2=CC=CC=C2)CCOC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,DTXSID8045143,"['29081007', '28163191', '27890827', '26881721', '21820012', '19817928', '19285549', '16868795', '16787411', '15963427', '15086525', '14751276', '12732244', '11786492', '11502731', '11312315', '11249581', '10336510', '8902262', '8819133', '8691981', '7704605', '1322970', '1671749', '1831559', '2386555', '1972755', '3266233']",28
